"word","Freq","name"
"Buoyancy compensator",1,"BADUNG"
"Burasa",1,"BADUNG"
"Butorides",1,"BADUNG"
"Buttercream",1,"BADUNG"
"Cabin",1,"BADUNG"
"Cable",1,"BADUNG"
"Caipiroska",1,"BADUNG"
"Calabaza",1,"BADUNG"
"Camouflage",1,"BADUNG"
"Camping",1,"BADUNG"
"Canal",1,"BADUNG"
"Canary",1,"BADUNG"
"Canh chua",1,"BADUNG"
"Car seat",1,"BADUNG"
"Caravel",1,"BADUNG"
"Carbonara",1,"BADUNG"
"Cardboard",1,"BADUNG"
"Caridean shrimp",1,"BADUNG"
"Carousel",1,"BADUNG"
"Carton",1,"BADUNG"
"Cash",1,"BADUNG"
"Casting (fishing)",1,"BADUNG"
"Cattleya",1,"BADUNG"
"Celestial event",1,"BADUNG"
"Ceramic",1,"BADUNG"
"Ceviche",1,"BADUNG"
"Chainsaw carving",1,"BADUNG"
"Chaise longue",1,"BADUNG"
"Chandelier",1,"BADUNG"
"Chaparral",1,"BADUNG"
"Chapati",1,"BADUNG"
"Chapel",1,"BADUNG"
"Char kway teow",1,"BADUNG"
"Cheering",1,"BADUNG"
"Cheeseburger",1,"BADUNG"
"Chess",1,"BADUNG"
"Chest of drawers",1,"BADUNG"
"Chiavari chair",1,"BADUNG"
"Chicken tikka",1,"BADUNG"
"Chinese herb tea",1,"BADUNG"
"Chocolate",1,"BADUNG"
"Chocolate bar",1,"BADUNG"
"Choreography",1,"BADUNG"
"Chow mein",1,"BADUNG"
"Christmas tree",1,"BADUNG"
"Chrysopogon zizanioides",1,"BADUNG"
"Church",1,"BADUNG"
"Ciambella",1,"BADUNG"
"Cider doughnut",1,"BADUNG"
"Citrus",1,"BADUNG"
"Clam",1,"BADUNG"
"Classic car",1,"BADUNG"
"Classic cocktail",1,"BADUNG"
"Club",1,"BADUNG"
"Cobalt blue",1,"BADUNG"
"Cobblestone",1,"BADUNG"
"Cockroach",1,"BADUNG"
"Coddle",1,"BADUNG"
"Coffeemaker",1,"BADUNG"
"Cola",1,"BADUNG"
"Comics",1,"BADUNG"
"Compact van",1,"BADUNG"
"Company",1,"BADUNG"
"Competition",1,"BADUNG"
"Compost",1,"BADUNG"
"Computer desk",1,"BADUNG"
"Confectionery",1,"BADUNG"
"Construction",1,"BADUNG"
"Convention",1,"BADUNG"
"Convention center",1,"BADUNG"
"Cooking oil",1,"BADUNG"
"Cookware and bakeware",1,"BADUNG"
"Copper",1,"BADUNG"
"Cornrows",1,"BADUNG"
"Cortado",1,"BADUNG"
"Corunda",1,"BADUNG"
"Costume design",1,"BADUNG"
"Cotoletta",1,"BADUNG"
"Couscous",1,"BADUNG"
"Crater lake",1,"BADUNG"
"Crawling",1,"BADUNG"
"Crispy fried chicken",1,"BADUNG"
"Crock",1,"BADUNG"
"Crocodile",1,"BADUNG"
"Crocodilia",1,"BADUNG"
"Crocus",1,"BADUNG"
"Crudo",1,"BADUNG"
"Crustacean",1,"BADUNG"
"Crypt",1,"BADUNG"
"Cuban food",1,"BADUNG"
"Cucurbita",1,"BADUNG"
"Cumberland sausage",1,"BADUNG"
"Currency",1,"BADUNG"
"Curry mee",1,"BADUNG"
"Customer",1,"BADUNG"
"Cutlery",1,"BADUNG"
"Cutlet",1,"BADUNG"
"Cycle sport",1,"BADUNG"
"Cylinder",1,"BADUNG"
"Dairy",1,"BADUNG"
"Daisy family",1,"BADUNG"
"Decanter",1,"BADUNG"
"Decapoda",1,"BADUNG"
"Deep frying",1,"BADUNG"
"Deer",1,"BADUNG"
"desert rose",1,"BADUNG"
"Diagram",1,"BADUNG"
"Dining room",1,"BADUNG"
"Dip",1,"BADUNG"
"Diving mask",1,"BADUNG"
"Dog walking",1,"BADUNG"
"Doll",1,"BADUNG"
"Dollar",1,"BADUNG"
"Dondurma",1,"BADUNG"
"Door handle",1,"BADUNG"
"Doughnut",1,"BADUNG"
"Dragon lizard",1,"BADUNG"
"Dreadlocks",1,"BADUNG"
"Drinking straw",1,"BADUNG"
"Drum",1,"BADUNG"
"Drummer",1,"BADUNG"
"Duvet",1,"BADUNG"
"Earl grey tea",1,"BADUNG"
