"ID","URL","favs","views","owner_location","title","description","county","lat","lon"
"45133385841","https://live.staticflickr.com/1978/45365015782_3d1cea06a2.jpg",0,3,"Germany","Bali","","Badung Kabupaten","-8.802253","115.229469"
"45878338685","https://live.staticflickr.com/4822/46064280355_e5cd398817.jpg",0,3,"australia","image7","","Badung Kabupaten","-8.647225","115.127625"
"46887369625","https://live.staticflickr.com/65535/47891474081_381c521068.jpg",0,3,"Glasgow, Scotland","Jalan Legian","At Paddy's Pub","Badung Kabupaten","-8.718527","115.174731"
"47802092111","https://live.staticflickr.com/65535/47855048112_bf8a5c1248.jpg",0,3,"Glasgow, Scotland","Democracy","","Badung Kabupaten","-8.729709","115.169913"
"47764340752","https://live.staticflickr.com/65535/40940422423_706f8a9774.jpg",0,3,"Glasgow, Scotland","Room 320","Amnaya Kuta","Badung Kabupaten","-8.729790","115.169903"
"47764340742","https://live.staticflickr.com/65535/40940330833_fb06388028.jpg",0,3,"Glasgow, Scotland","Room 320","Amnaya Kuta","Badung Kabupaten","-8.729790","115.169903"
"28850116431","https://live.staticflickr.com/8704/28907896195_90df90a14d.jpg",0,3,"Miami, FL","Luwak coffee","","Gianyar Kabupaten","-8.444176","115.278124"
"28910755295","https://live.staticflickr.com/8059/28983251716_630ddf76aa.jpg",0,3,"Miami, FL","","","Gianyar Kabupaten","-8.476959","115.244713"
"28847444140","https://live.staticflickr.com/8279/28755828023_6838aa7e50.jpg",0,3,"Warmond, Netherlands","Bali 2016 Ubud","","Gianyar Kabupaten","-8.511164","115.264683"
"29550444871","https://live.staticflickr.com/8413/29561123942_7239bd0fd8.jpg",0,3,"Thailand, JPN","","","Badung Kabupaten","-8.718150","115.172552"
"30855428354","https://live.staticflickr.com/5789/30853556574_d86601d8de.jpg",0,3,"Malaysia","","","Badung Kabupaten","-8.791939","115.229713"
"30854500634","https://live.staticflickr.com/5559/31641045491_f26152834c.jpg",0,3,"Malaysia","","","Badung Kabupaten","-8.542387","115.172416"
"31323616210","https://live.staticflickr.com/635/31610306492_ffac6fe72f.jpg",0,3,"Malaysia","","","Badung Kabupaten","-8.542414","115.172416"
"30854469484","https://live.staticflickr.com/669/30915509784_44d9e2382e.jpg",0,3,"Malaysia","","","Badung Kabupaten","-8.542600","115.172372"
"30854229534","https://live.staticflickr.com/606/30947293413_c01a9ab9de.jpg",0,3,"Malaysia","","","Gianyar Kabupaten","-8.515184","115.259972"
"30885678963","https://live.staticflickr.com/639/31757094965_777feebc83.jpg",0,3,"Malaysia","","","Gianyar Kabupaten","-8.518198","115.259163"
"31549446452","https://live.staticflickr.com/620/31384729170_2912e1dbb2.jpg",0,3,"Malaysia","","","Gianyar Kabupaten","-8.523009","115.262825"
"31695690775","https://live.staticflickr.com/623/31719676876_1f1c52e8c7.jpg",0,3,"Malaysia","","","Gianyar Kabupaten","-8.523234","115.286536"
"31580192741","https://live.staticflickr.com/709/31757069605_b204b84523.jpg",0,3,"Malaysia","","","Gianyar Kabupaten","-8.523067","115.286613"
"31549329752","https://live.staticflickr.com/407/31719657676_7c0ab11a0c.jpg",0,3,"Malaysia","","","Gianyar Kabupaten","-8.523206","115.286627"
"31580125291","https://live.staticflickr.com/416/31610219662_8c057159c9.jpg",0,3,"Malaysia","","","Gianyar Kabupaten","-8.523309","115.286475"
"31548715162","https://live.staticflickr.com/482/31650982582_7c14fc08a6.jpg",0,3,"Malaysia","","","Gianyar Kabupaten","-8.432703","115.278677"
"33195856540","https://live.staticflickr.com/3761/33636728426_0562e48256.jpg",0,3,"BALI, INDONESIA",""" We never know our life's journey. However, we fill in the story on this trip. Grateful for every thing that has been running in our lives ""<U+27A1>:e-mail:rrybali","","Badung Kabupaten","-8.674278","115.146500"
"33596658631","https://live.staticflickr.com/2864/33034419283_9a5d07feeb.jpg",0,3,"Budapest, Hungary","javai makako Macaca fascicularis112","","Gianyar Kabupaten","-8.518750","115.258158"
"33569439462","https://live.staticflickr.com/3910/33850141225_6b4347a361.jpg",0,3,"Budapest, Hungary","javai makako Macaca fascicularis114","","Gianyar Kabupaten","-8.518748","115.258161"
"32883068974","https://live.staticflickr.com/2867/33685287542_83b0dd6523.jpg",0,3,"Budapest, Hungary","javai makako Macaca fascicularis123","","Gianyar Kabupaten","-8.518295","115.259052"
"32912223753","https://live.staticflickr.com/3671/33798521216_8ca714cc68.jpg",0,3,"Budapest, Hungary","javai makako Macaca fascicularis127","","Gianyar Kabupaten","-8.518325","115.259122"
"33341202380","https://live.staticflickr.com/3948/33794651476_5bc9b542dd.jpg",0,3,"Budapest, Hungary","javai makako Macaca fascicularis143","","Gianyar Kabupaten","-8.518187","115.259080"
"32912221583","https://live.staticflickr.com/3842/33021241903_3a92af8cae.jpg",0,3,"Budapest, Hungary","javai makako Macaca fascicularis144","","Gianyar Kabupaten","-8.518189","115.259072"
"33061600803","https://live.staticflickr.com/2940/33141654933_784c737ae4.jpg",0,3,"Rome, Italy","DSC_0155","Indonesia - Bali - Ubud","Gianyar Kabupaten","-8.505867","115.261447"
"33111562394","https://live.staticflickr.com/2945/33955827156_017e640e4f.jpg",0,3,"Rome, Italy","DSC_0762","Indonesia - Bali - Ubud","Gianyar Kabupaten","-8.415675","115.315327"
