"DENPASAR","Freq"
"Artificial flower",3
"Artist",3
"Backlighting",3
"Balloon",3
"Banner",3
"Bed sheet",3
"Bedroom",3
"Bicycle accessory",3
"Bicycle frame",3
"Bicycle saddle",3
"Bicycle tire",3
"Bottle",3
"Boutique",3
"Bride",3
"Bridge",3
"Camera",3
"Canal",3
"Canopy bed",3
"Carbonated soft drinks",3
"Cattleya",3
"Ceramic",3
"Child model",3
"Choreography",3
"Christmas",3
"Christmas decoration",3
"Close-up",3
"Coca-cola",3
"Cocktail",3
"Coffee",3
"Cola",3
"Compact car",3
"Conversation",3
"Coral reef",3
"Costume",3
"Crochet",3
"Curry",3
"Curtain",3
"Daylighting",3
"Diving equipment",3
"Feather",3
"Ferry",3
"Finger food",3
"Flip (acrobatic)",3
"Forest",3
"Formation",3
"frangipani",3
"Frozen dessert",3
"Guard dog",3
"Human leg",3
"Indian cuisine",3
"Indoor games and sports",3
"Insect",3
"Job",3
"Kite sports",3
"Label",3
"Labrador retriever",3
"Lawn ornament",3
"Liqueur",3
"Long hair",3
"Magazine",3
"Marathon",3
"Marriage",3
"Mason jar",3
"Mast",3
"Mid-size car",3
"Midnight",3
"Moth Orchid",3
"Motor ship",3
"Necklace",3
"Non-alcoholic beverage",3
"Non-Sporting Group",3
"Orchid",3
"Outdoor recreation",3
"Outerwear",3
"Painting",3
"Plastic",3
"Plaza",3
"Plucked string instruments",3
"Plywood",3
"Public event",3
"Rectangle",3
"Red sky at morning",3
"Retriever",3
"Rhesus macaque",3
"Sailing ship",3
"Scooter",3
"Screenshot",3
"Serveware",3
"Shadow",3
"Shinto shrine",3
"Sidewalk",3
"Silhouette",3
"Still life",3
"Suit",3
"Sun hat",3
"Tall ship",3
"Team sport",3
"Thai food",3
"Thatching",3
"Thigh",3
"Tile",3
"Towel",3
"Tower",3
"Toyota",3
"Trade",3
"Urban design",3
"Water feature",3
"Wood stain",3
"Ancient history",4
"Anthurium",4
"Aqua",4
"Attalea speciosa",4
"Automotive exterior",4
"Automotive lighting",4
"Barechested",4
"Bicycle handlebar",4
"Botanical garden",4
"Brick",4
"Cameras & optics",4
"Caribbean",4
"Carnival",4
"Chinese food",4
"Classical sculpture",4
"Cottage",4
"Crew",4
"Cumulus",4
"Facial hair",4
"Fast food",4
"Fireworks",4
"Flag",4
"Flowerpot",4
"Fried chicken",4
"Gazebo",4
"Goggles",4
"Gown",4
"Headlamp",4
"Holiday",4
"Impatiens",4
"Infrastructure",4
"Invertebrate",4
"Jaw",4
"Jewellery",4
"Lake",4
"Landscape lighting",4
"Landscaping",4
"Leaf vegetable",4
"Linens",4
"Macaque",4
"Malvales",4
"Marine biology",4
"Minivan",4
"Motorcycle helmet",4
"Motorcycling",4
"Musician",4
"Nail",4
"Outdoor play equipment",4
"Pagoda",4
"Paper",4
"Party",4
"Patio",4
"Perennial plant",4
"Physical fitness",4
"Portrait",4
"Purple",4
"Rainforest",4
"Relief",4
"Ruins",4
"Running",4
"Scuba diving",4
"Ship",4
"Side dish",4
"Signage",4
"Snack",4
"Street fashion",4
"String instrument",4
"Student",4
"Subcompact car",4
"Suite",4
"Supper",4
