"BADUNG","Freq"
"Lens",3
"Lime",3
"Mai tai",3
"Majorelle blue",3
"Marriage",3
"Mattress",3
"Metropolis",3
"Mexican food",3
"Mid-size car",3
"Model",3
"Music artist",3
"Musical ensemble",3
"Narrow-body aircraft",3
"Nasi campur",3
"Neon",3
"Nepenthes",3
"Oily fish",3
"Packaging and labeling",3
"Paper product",3
"Parasite",3
"Passenger ship",3
"Pavilion",3
"Personal computer",3
"Physical fitness",3
"Picture frame",3
"Pillow",3
"Pizza cheese",3
"Poached egg",3
"Porcelain",3
"Public utility",3
"Publication",3
"Puppy",3
"Reflex camera",3
"Rehearsal dinner",3
"Roasting",3
"Scaled reptile",3
"Seaside resort",3
"Shed",3
"Shopping",3
"Shorts",3
"Shrimp",3
"Single-lens reflex camera",3
"Sleeve",3
"Sparrow",3
"Spinach salad",3
"Spoke",3
"Sports car",3
"Sportswear",3
"Stall",3
"Steel",3
"Sticker",3
"Stone wall",3
"Street sign",3
"Supercar",3
"Supermarket",3
"Sweetness",3
"Tap",3
"Tavern",3
"Toe",3
"Tomb",3
"Tooth",3
"Tour bus service",3
"Toyota",3
"Twig",3
"Vision care",3
"Visual effect lighting",3
"Waist",3
"Wallpaper",3
"Waste container",3
"Water bird",3
"Watercolor paint",3
"Waterfall",3
"Wedding dress",3
"White rice",3
"Windsports",3
"Wine",3
"Winter",3
"Writing",3
"Airport apron",4
"Ale",4
"Animation",4
"Annual plant",4
"appetizer",4
"Arrosticini",4
"Astronomical object",4
"Auto part",4
"Automotive lighting",4
"Barbecue",4
"Barefoot",4
"Barware",4
"Bathing",4
"Bathroom cabinet",4
"Batida",4
"board short",4
"Boulder",4
"Boutique hotel",4
"Brand",4
"Brickwork",4
"Bronze sculpture",4
"Bumper",4
"Cameras & optics",4
"Canopy",4
"Centrepiece",4
"Coconut",4
"Collage",4
"Comfort",4
"Commemorative plaque",4
"Compact car",4
"Competition event",4
"Computer",4
"Crop",4
"Desert Palm",4
"Desk",4
"Downtown",4
"Drinkware",4
"Drums",4
"Electrical supply",4
"Electricity",4
"Electronic engineering",4
"Electronic signage",4
"European shorthair",4
"Facial hair",4
"Fast food restaurant",4
"Fence",4
"Finial",4
"Fish pond",4
"Fisheye lens",4
"Fishing vessel",4
"Flower Arranging",4
"fragrant white water lily",4
"Frappé coffee",4
"Fried chicken",4
"Fur",4
"Grilling",4
"Hacienda",4
"Handrail",4
"Hat",4
"Hawker",4
"Headlamp",4
"Hill",4
"Juice",4
"Lantern",4
"Lawn ornament",4
"Litter",4
"Lotus family",4
"Major appliance",4
"Minivan",4
"Moon",4
"Morning glory",4
"Mountain range",4
"Mountainous landforms",4
"Multimedia",4
"Mythology",4
"Outerwear",4
"Pad thai",4
"Photo caption",4
"Pizza",4
"Plain",4
"Plant stem",4
"Porch",4
"Reservoir",4
"Rim",4
"Runway",4
"Screen",4
"Shadow",4
"Ship",4
"Sleep",4
"Slider",4
"Social group",4
"Stemware",4
"Subcompact car",4
"Symmetry",4
"Thai food",4
"Tints and shades",4
"Toy",4
"Traffic sign",4
"Train station",4
"Undergarment",4
"Underwater",4
"Uniform",4
"Urban design",4
"Van",4
"Venison",4
"Violet",4
"Wakesurfing",4
"Water park",4
"Windshield",4
"Wine glass",4
"Wire",4
"Wood flooring",4
"Wood stain",4
"Abdomen",5
"Automotive wheel system",5
"Baby",5
"Bathroom sink",5
"Bedding",5
"Bicycle",5
"Boardwalk",5
"Bride",5
"Brown",5
"Business",5
"Cocktail garnish",5
"Coffee cup",5
"Concrete",5
"Convenience store",5
"Curry",5
"Cut flowers",5
"Display advertising",5
"Diwali",5
"Electrical wiring",5
"Entertainment",5
"Extreme sport",5
"Finch",5
"Flood",5
"French fries",5
"Garnish",5
"Hamburger",5
"Helmet",5
"Hut",5
"Karedok",5
"Lake",5
"Leaf vegetable",5
"Linens",5
"Maya city",5
"Milkshake",5
"Mirror",5
"Nasi liwet",5
"Pasture",5
"Perching bird",5
"Pest",5
"Plantation",5
"Plywood",5
"Public transport",5
"Raised beach",5
